deck_id,deck_title,category,question_id,question_number,question,correct_answer,answer_source,primary_lecture_id,primary_test,primary_official_number,primary_title,alternate_lecture_id,alternate_test,alternate_official_number,alternate_title,confidence,rationale
mock-final,Final 2,Mock Exams,1,1,"A 14 year old girl presents with primary amenorrhea and cyclic lower abdominal pain. On examination, there is a bluish bulging membrane at the vaginal introitus. What is the most likely diagnosis?",A,unknown,4,1,3,Sexual development & Puberty,6,1,6,Amenorrhea–dysmenorrhea–PMS,high,The puberty lecture contains a near-verbatim imperforate-hymen case; amenorrhea supports cryptomenorrhea and outflow obstruction as an alternate.
mock-final,Final 2,Mock Exams,2,2,A 28 year old woman develops atonic postpartum haemorrhage after a vaginal delivery. Uterine massage and uterotonic drugs fail to control the bleeding. What is the next best step?,C,unknown,50,3,17,PPH & other Obstetric emergencies (case-based),49,3,16,Maternal collapse and its management (case-based),high,"The PPH lecture's atony ladder places tamponade after massage/uterotonics and before compression sutures, ligation, or hysterectomy."
mock-final,Final 2,Mock Exams,3,3,A 32 year old woman has recently delivered and is breast feeding her baby. Which of the following is the most suitable and effective contraceptive method you recommend for her?,A,unknown,44,3,6,Contraception,43,3,12,Postnatal care and puerperal sepsis,high,The contraception lecture states progestogen-only pills are breastfeeding-safe and advises progestogen-only methods early postpartum.
mock-final,Final 2,Mock Exams,4,4,"A 34-year-old primigravida attends in spontaneous labour at 40 weeks gestation. She was found to be in established labour at 7 cm cervical dilatation with intact membranes. Few hours later, she had spontaneous rupture of membranes and a fully dilated cervix with brow presentation. What is the measurement of the presenting diameter?",B,unknown,30,2,13,Fetal malposition & malpresentations,22,2,5,Anatomy of the pelvis & mechanism of normal labor,high,"The malpresentation lecture identifies brow as presenting the mento-vertical diameter, 13.5 cm, and normally undeliverable."
mock-final,Final 2,Mock Exams,5,5,A 38 year old G4P3 at 33 weeks gestation presents for a routine antenatal visit and is noted to have a symphysis-fundal height of 29 cm. An ultrasound scan is performed which demonstrates an EFW below the 5th centile for gestational age. Which of the following is associated with symmetric IUGR?,B,unknown,25,2,8,Disorders of fetal growth,,,,,high,The fetal-growth lecture links early intrinsic chromosomal/infective insults and structural anomalies to symmetric IUGR.
mock-final,Final 2,Mock Exams,6,6,A 58-year old postmenopausal woman presents with vaginal bleeding.Endometrial sampling reveals complex hyperplasia with atypia. What is the most appropriate next step in management?,B,unknown,31,2,14,Endometrial hyperplasia and endometrial cancer,,,,,high,The endometrial lecture identifies complex atypical hyperplasia as high-risk and recommends definitive TAH+BSO.
mock-final,Final 2,Mock Exams,7,7,A cervical cancer patient develops unilateral hydronephrosis. What is the FIGO stage of this disease?,D,unknown,45,3,7,Cervical cancer & screening,,,,,high,The cervical-cancer lecture classifies hydronephrosis or a nonfunctioning kidney as FIGO stage IIIB.
mock-final,Final 2,Mock Exams,8,8,A pregnant woman presents at 10 weeks for antenatal care. Which of the following tests is not routinely recommended at the booking visit?,A,unknown,3,1,4,Preconceptional counselling and antenatal care,,,,,high,"The antenatal-care booking panel includes FBC, blood group/Rh, and virology; routine coagulation testing is not listed."
mock-final,Final 2,Mock Exams,9,9,"As regards hepatitis C infection (HCV) in pregnancy, which of the following statements is correct?",C,unknown,16,1,16,Medical Diseases & Pregnancy 3,,,,,high,Medical Diseases & Pregnancy 3 specifically covers HCV and notes HIV coinfection/high viral load raises vertical transmission.
mock-final,Final 2,Mock Exams,10,10,"During menopause , which of the following is a common cognitive complaint?",D,unknown,19,2,2,Menopause,27,2,10,Psychosocial problems & women’s health,high,The menopause lecture explicitly lists brain fog with memory/cognitive complaints.
mock-final,Final 2,Mock Exams,11,11,"In a patient with placenta accreta spectrum diagnosed antenatally, what is the recommended timing of planned delivery in the absence of bleeding or other complications?",A,unknown,9,1,9,Antepartum hemorrhage,,,,,high,The APH lecture gives planned specialist MDT delivery for placenta accreta spectrum at 35–36+6 weeks.
mock-final,Final 2,Mock Exams,12,12,"In the management of maternal collapse, at which concentration should high flow oxygen be given?",B,unknown,49,3,16,Maternal collapse and its management (case-based),,,,,high,The maternal-collapse ABCDE protocol specifies high-flow oxygen at 15 L/min.
mock-final,Final 2,Mock Exams,13,13,"In twin pregnancy, the T-sign seen on first trimester ultrasound is suggestive of which type of twins?",B,unknown,10,1,10,Multifetal gestation,26,2,9,Role of Ultrasound in obstetric,high,The multifetal-gestation lecture teaches the T sign as monochorionic; a visible dividing membrane makes the option MCDA.
mock-final,Final 2,Mock Exams,14,14,"In women taking combined hormone replacement therapy, what is the role of progestogens?",B,unknown,19,2,2,Menopause,,,,,high,The menopause HRT rule is uterus present: add progestogen to prevent endometrial hyperplasia/carcinoma from unopposed estrogen.
mock-final,Final 2,Mock Exams,15,15,"On evaluation of a woman with abnormal vaginal discharge, which of the following best describes Clue Cells?",C,unknown,23,2,6,Infections of the genital tract,,,,,high,"The genital-infection lecture defines clue cells as vaginal epithelial cells studded with adherent coccobacilli, a key BV finding."
mock-final,Final 2,Mock Exams,16,16,Polycystic ovary syndrome is usually associated with which of the following patterns of menstrual irregularities?,B,unknown,7,1,7,Polycystic ovary syndrome,,,,,high,The PCOS lecture lists oligo/amenorrhea from ovulatory dysfunction as the characteristic menstrual pattern.
